State,City,Year,Avg_AQI,Std_AQI,Avg_Water,Avg_Emission
Telangana,Hyderabad,2022,213.4527,24.4757,1.1284,32907.9375
Telangana,Hyderabad,2023,220.7664,19.4749,1.3919,36308.9792
Telangana,Hyderabad,2024,215.2506,21.346,1.0498,21732.1458
Telangana,Hyderabad,2025,211.2304,22.4595,1.2742,28204.75
Uttar Pradesh,Lucknow,2010,208.1398,20.559,1.3473,37926.4583
Uttar Pradesh,Lucknow,2011,212.7319,20.6975,1.2315,32621.5834
Uttar Pradesh,Lucknow,2012,214.4265,20.5946,1.3315,26801.6875
Uttar Pradesh,Lucknow,2013,212.4934,17.9729,1.2158,27861.4375
Uttar Pradesh,Lucknow,2014,216.1579,20.6654,1.0769,32193.2917
Uttar Pradesh,Lucknow,2015,237.627,108.1924,2.1383,347508.9112
Uttar Pradesh,Lucknow,2016,250.8594,108.2572,2.3101,209764.776
Uttar Pradesh,Lucknow,2017,254.4796,101.3074,2.4128,151630.1355
Uttar Pradesh,Lucknow,2018,249.8975,100.7923,2.044,184346.1904
Uttar Pradesh,Lucknow,2019,216.1721,80.1208,2.3619,237585.4521
Uttar Pradesh,Lucknow,2020,174.4757,73.7813,2.109,154979.2905
Uttar Pradesh,Lucknow,2021,227.0331,24.3196,1.1785,21652.625
Uttar Pradesh,Lucknow,2022,225.5671,18.8984,1.1692,32631.2708
Uttar Pradesh,Lucknow,2023,242.2994,20.7897,1.3206,26134.9375
Uttar Pradesh,Lucknow,2024,233.9879,24.0304,1.3296,31272.4167
Uttar Pradesh,Lucknow,2025,233.8894,24.7402,1.1336,32696.1875
West Bengal,Kolkata,2010,224.0746,23.2024,1.3792,20544.5625
West Bengal,Kolkata,2011,228.231,22.1667,1.164,32446.4375
West Bengal,Kolkata,2012,227.6021,19.5365,1.3056,30623.25
West Bengal,Kolkata,2013,233.109,25.4506,1.2175,28260.2708
West Bengal,Kolkata,2014,236.6856,20.1494,1.2725,28657.5833
West Bengal,Kolkata,2015,234.774,24.1954,1.1729,33836.625
West Bengal,Kolkata,2016,244.1067,21.2628,1.4088,19576.5833
West Bengal,Kolkata,2017,243.6633,20.6833,1.1898,34747.0
West Bengal,Kolkata,2018,174.1405,127.7022,3.9586,306417.178
West Bengal,Kolkata,2019,153.348,94.314,3.9784,306284.6333
West Bengal,Kolkata,2020,154.1758,100.5798,3.3143,198802.9608
West Bengal,Kolkata,2021,251.1184,27.1799,1.1119,32780.8542
West Bengal,Kolkata,2022,243.8398,25.7576,1.2352,27207.7083
West Bengal,Kolkata,2023,253.3283,23.8088,1.2008,21411.1666
West Bengal,Kolkata,2024,252.7414,22.9611,1.2696,22811.0208
West Bengal,Kolkata,2025,244.424,19.0853,1.3269,25320.9792
